name1	name2	name3	name4	name5	name6	name7	name8	name9	name10
鳳凰於飛	思緒萬千	理直氣壯	暖衣飽食	蘭質蕙心	喜笑顏開	功不可沒	枝繁葉茂	愛如己出	大喜過望
飛鴻踏雪	千言萬語	壯志凌雲	食為民天	心花怒放 	開花結果	沒齒不忘	茂林修竹	出人意表	望穿秋水
雪月風花	語妙天下	雲舒霞卷	天長地久	放言高論	果於自信	忘乎所以	竹馬之友	表裡如一	水色山光
花容月貌	下筆如神	捲土重來	久別重逢	論議風生	信以為真	以禮相待	友風子雨	一視同仁	光明正大
貌美如仙	神采飛揚	來日方長	逢山開路	生氣蓬勃	真情實感	待字閨中	雨過天晴	仁義道德	大智若愚
仙姿玉色	揚揚自得	長治久安	路見不平	勃然大怒	感激不盡	中庸之道	晴空萬里	德高望重	愚昧無知
色色俱全	得心應手	安居樂業	平易近人	怒髮衝冠	盡善盡美	道聽途說	裡應外合	重振旗鼓	知過必改
全心全意	手足之情	業精於勤	人山人海	冠絕一時	美人如玉	說古道今	合家大吉	鼓舞歡欣	改邪歸正
意氣風發	情投意合	勤學好問	海闊天空	時來運轉	玉堂金馬	今非昔比	吉人天相	欣喜若狂	正經八百
發人深思	合情合理	問寒問暖	空谷幽蘭	轉悲為喜	馬到成功	比翼連枝	相親相愛	狂妄自大	百鳥朝鳳
