szTimeFrame	nNpcTID	Name	Map	szTips1	szTips2	szTips3	Desc
OpenLevel39	1966	納蘭潛凜	鎖雲淵	無憂教主，位於10級地圖南方	納蘭潛凜,位於鎖雲淵南方		牡丹凝血，無憂教主
OpenLevel39	1967	納蘭真	鎖雲淵	忘憂島明珠，位於10級地圖北方	納蘭真,位於鎖雲淵北方		牡丹凝血，銀絲神草
OpenLevel39	1968	獨孤劍	鎖雲淵	武林盟主，位於10級地圖西北	獨孤劍,位於鎖雲淵西北		牡丹凝血，俠之大者
OpenLevel39	1969	張琳心	武夷山	獨孤劍之妻，位於10級地圖東北	張琳心,位於武夷山東北		江南名山，如夢之妹
OpenLevel39	1970	南宮飛雲	武夷山	劍中之劍，位於10級地圖西方	南宮飛雲,位於武夷山西方		江南名山，漢金混血
OpenLevel39	1971	燕若雪	武夷山	南宮飛雲之妻，位於10級地圖南方	燕若雪,位於武夷山南方		江南名山，飛雲之妻
OpenLevel39	1972	孟知秋	雁蕩山	薔薇之父，位於10級地圖西方	孟知秋,位於雁蕩山西方		芙蓉名峰，落葉山莊
OpenLevel39	1973	月眉兒	雁蕩山	飛龍堡少堡主，位於10級地圖東方	月眉兒,位於雁蕩山東方		芙蓉名峰，殺父之仇
OpenLevel39	1974	楊影楓	雁蕩山	悲魔劍聖，位於10級地圖北方	楊影楓,位於雁蕩山北方		芙蓉名峰，天下第一
OpenLevel39	1975	薔薇	洞庭湖畔	孟知秋之女，位於20級地圖東方	薔薇,位於洞庭湖東方		雲夢大澤，訓鷹少女
OpenLevel39	1976	張如夢	洞庭湖畔	南宮彩虹之父，位於20級地圖西南	張如夢,位於洞庭湖西南		雲夢大澤，大漠定情
OpenLevel39	1977	南宮彩虹	洞庭湖畔	張如夢之妻，位於20級地圖北方	南宮彩虹,位於洞庭湖北方		雲夢大澤，大漠定情
OpenLevel39	1978	卓非凡	苗嶺	藏劍山莊莊主，位於20級地圖西方	卓非凡,位於苗嶺西方		惠水雷公，武道德經
OpenLevel39	1979	紫軒	苗嶺	執傘的姑娘，位於20級地圖南方	紫軒,位於苗嶺南方		惠水雷公，紅衣玉笛
OpenLevel39	1980	柴嵩	苗嶺	長歌門門主，位於20級地圖東方	柴嵩,位於苗嶺東方		惠水雷公，心系無雙
OpenLevel39	1981	楊瑛	點蒼山	天王幫幫主，位於20級地圖西方	楊瑛,位於點蒼山西方		雲嶺山脈，山河社稷
OpenLevel39	1982	胡神醫	點蒼山	藥王谷穀主，位於20級地圖東方	胡神醫,位於點蒼山東方		雲嶺山脈，藥王穀主
OpenLevel39	1983	秋依水	點蒼山	翠煙門門主，位於20級地圖北方	秋依水,位於點蒼山北方		雲嶺山脈，心系唐影
OpenLevel39	1984	萬金財	夜郎廢墟	有錢的胖子，位於PK地圖北方	萬金財,位於夜郎廢墟北方		運鏢之所，行商坐賈
OpenLevel39	1985	虞姬	夜郎廢墟	霸王別姬，位於PK地圖南方	虞姬,位於夜郎廢墟南方		運鏢之所，和垓下歌
OpenLevel49	1966	納蘭潛凜	鎖雲淵	無憂教主，位於10級地圖南方	納蘭潛凜,位於鎖雲淵南方		竹林幽幽，一代梟雄
OpenLevel49	1967	納蘭真	鎖雲淵	忘憂島明珠，位於10級地圖北方	納蘭真,位於鎖雲淵北方		竹林幽幽，蕙質蘭心
OpenLevel49	1968	獨孤劍	武夷山	武林盟主，位於10級地圖東北	獨孤劍,位於武夷山東北		竹林幽幽，抗金豪俠
OpenLevel49	1969	張琳心	武夷山	獨孤劍之妻，位於10級地圖西方	張琳心,位於武夷山西方		羽流禪家，清心之術
OpenLevel49	1970	南宮飛雲	雁蕩山	劍中之劍，位於10級地圖西方	南宮飛雲,位於雁蕩山西方		羽流禪家，花飛蝴蝶
OpenLevel49	1971	燕若雪	雁蕩山	南宮飛雲之妻，位於10級地圖東方	燕若雪,位於雁蕩山東方		羽流禪家，金國公主
OpenLevel49	1972	孟知秋	洞庭湖畔	薔薇之父，位於20級地圖東方	孟知秋,位於洞庭湖畔東方		結草為蕩，滄海月明
OpenLevel49	1973	月眉兒	洞庭湖畔	飛龍堡少堡主，位於20級地圖西南	月眉兒,位於洞庭湖畔西南		結草為蕩，冰心仙子
OpenLevel49	1974	楊影楓	苗嶺	悲魔劍聖，位於20級地圖西方	楊影楓,位於苗嶺西方		結草為蕩，烈火情天
OpenLevel49	1975	薔薇	苗嶺	孟知秋之女，位於20級地圖南方	薔薇,位於苗嶺南方		岸芷汀蘭，刁蠻姑娘
OpenLevel49	1976	張如夢	點蒼山	南宮彩虹之父，位於20級地圖西方	張如夢,位於點蒼山西方		岸芷汀蘭，孤山印月
OpenLevel49	1977	南宮彩虹	點蒼山	張如夢之妻，位於20級地圖東方	南宮彩虹,位於點蒼山東方		岸芷汀蘭，敢愛敢恨
OpenLevel49	1978	卓非凡	夜郎廢墟	藏劍山莊莊主，位於PK地圖北方	卓非凡,位於夜郎廢墟北方		竹林幽幽，心狠手辣
OpenLevel49	1979	紫軒	夜郎廢墟	執傘的姑娘，位於PK地圖南方	紫軒,位於夜郎廢墟南方		竹林幽幽，身世淒婉
OpenLevel49	1980	柴嵩	響水洞	長歌門門主，位於40級地圖北方	柴嵩,位於響水洞北方		竹林幽幽，雲海夢蝶
OpenLevel49	1981	楊瑛	響水洞	天王幫幫主，位於40級地圖東南	楊瑛,位於響水洞東南		洱源下關，巾幗鬚眉
OpenLevel49	1982	胡神醫	見性峰	藥王谷穀主，位於40級地圖南方	胡神醫,位於見性峰南方		洱源下關，騎驢之人
OpenLevel49	1983	秋依水	見性峰	翠煙門門主，位於40級地圖東北	秋依水,位於見性峰東北		洱源下關，雪映紅塵
OpenLevel49	1984	萬金財	劍門關	有錢的胖子，位於40級地圖西南	萬金財,位於劍門關西南		紛爭之地，金牙胖子
OpenLevel49	1985	虞姬	劍門關	霸王別姬，位於40級地圖北方	虞姬,位於劍門關北方		紛爭之地，西楚美人
OpenLevel69	1966	納蘭潛凜	鎖雲淵	無憂教主，位於10級地圖北方	納蘭潛凜,位於鎖雲淵北方		牡丹凝血，無憂教主
OpenLevel69	1967	納蘭真	武夷山	忘憂島明珠，位於10級地圖西方	納蘭真,位於武夷山西方		牡丹凝血，銀絲神草
OpenLevel69	1968	獨孤劍	雁蕩山	武林盟主，位於10級地圖東方	獨孤劍,位於雁蕩山東方		牡丹凝血，俠之大者
OpenLevel69	1969	張琳心	洞庭湖畔	獨孤劍之妻，位於20級地圖西南	張琳心,位於洞庭湖畔西南		江南名山，如夢之妹
OpenLevel69	1970	南宮飛雲	苗嶺	劍中之劍，位於20級地圖南方	南宮飛雲,位於苗嶺南方		江南名山，漢金混血
OpenLevel69	1971	燕若雪	點蒼山	南宮飛雲之妻，位於20級地圖東方	燕若雪,位於點蒼山東方		江南名山，飛雲之妻
OpenLevel69	1972	孟知秋	夜郎廢墟	薔薇之父，位於PK地圖南方	孟知秋,位於夜郎廢墟南方		芙蓉名峰，落葉山莊
OpenLevel69	1973	月眉兒	響水洞	飛龍堡少堡主，位於40級地圖北方	月眉兒,位於響水洞北方		芙蓉名峰，殺父之仇
OpenLevel69	1974	楊影楓	響水洞	悲魔劍聖，位於40級地圖東南	楊影楓,位於響水洞東南		芙蓉名峰，天下第一
OpenLevel69	1975	薔薇	見性峰	孟知秋之女，位於40級地圖南方	薔薇,位於見性峰南方		雲夢大澤，訓鷹少女
OpenLevel69	1976	張如夢	見性峰	南宮彩虹之父，位於40級地圖東北	張如夢,位於見性峰東北		雲夢大澤，大漠定情
OpenLevel69	1977	南宮彩虹	劍門關	張如夢之妻，位於40級地圖西南	南宮彩虹,位於劍門關西南		雲夢大澤，大漠定情
OpenLevel69	1978	卓非凡	劍門關	藏劍山莊莊主，位於40級地圖北方	卓非凡,位於劍門關北方		惠水雷公，武道德經
OpenLevel69	1979	紫軒	薦菊洞	執傘的姑娘，位於60級地圖西南	紫軒,位於薦菊洞西南		惠水雷公，紅衣玉笛
