Type	Wuxing	Explain	Arrangement	RewardGroup	SkillId	SkillLevel	SkillTime
12	金木	金能克木，木堅金缺！今日行事雖有利，弊亦不可忽視。	深思熟慮\n魯莽冒行，唯苦果以嘗。	1	2301	4	7200
112	金金木	金能生水，水多金沉！以武謀利，濫而傷己。	息武止戈\n足下今日不宜爭鬥，息武修養為是。	2	2301	5	7200
1112	金金金木	金衰遇火，必見銷熔！強敵在前，謹行。	按兵不動\n靜觀敵變，相機而動，冒進必敗。	3	2301	6	7200
11112	金金金金木	金賴土生, 土多金埋！陳規陋習，埋才之物。	潛龍勿用\n天行健，君子以自強不息。	4	2301	7	7200
13	金水	木弱逢金，必為斫折！今日行事有弊無利。	高枕而臥\n今日不宜行事，臥床無憂。	1	2301	4	7200
113	金金水	木賴水生, 水多木漂！運數猶在，後患勿忘。	遠慮而無近憂\n君子若無遠慮，必有近憂，今日運氣尚存，然近憂將至。	2	2301	5	7200
1113	金金金水	木能生火, 火多木焚！時運濟，然命途舛。	靜候佳音\n若耐心以待，必有後福。	3	2301	6	7200
11113	金金金金水	木能克土, 土多木折！時運至，無福消。	勿占小利\n蠅頭之利，君子為棄。	4	2301	7	7200
14	金火	水賴金生，金多水濁！水性包容，然有度。	理性行事\n包容無度，累己傷人。	1	2301	4	7200
114	金金火	水能生木, 木多水縮！付出一事，本末忌倒置。	平常心\n付出必有回報，然倒其本末，事與願違矣。	2	2301	5	7200
1114	金金金火	水能克火, 火多水幹！情無崖，生有限，卿知之。	省癡心\n烈火之意，弱水難覆，慎之。	3	2301	6	7200
11114	金金金金火	水弱逢土, 必為淤塞！子已出塵，卿奈何為強。	拾心斜陽下\n晚春已至，相思無花，秋實難望，古道癡心。	4	2301	7	7200
15	金土	火能克金，金多火熄！今日行事較順，然不無磕絆。	事事用心\n千頭萬緒，唯細緻不誤。	1	2301	4	7200
115	金金土	火賴木生, 木多火熾！壯志未酬，然心迫矣。	靜心\n心亂志難酬，東郭竹色青，近而忘憂。	2	2301	5	7200
1115	金金金土	火弱逢水，必為熄滅！壯志不已，時機未到。	臥薪嚐膽\n君子相機而動，無謂掙扎空餘恨。	3	2301	6	7200
11115	金金金金土	火能生土, 土多火晦！志未酬，心莫已。	聞雞起舞\n入世一路，實為險途，豺狼餓虎左右，謹心。	4	2301	7	7200
11111	金金金金金	土能生金, 金多土變！萬化歸一，異念亂性。	沐浴焚香\n靜養生息，端正心魄。	5	2301	8	7200
21	木金	土弱逢木, 必為傾陷！木者，利也，君子遠之。	正心術\n塵世浮雲，不益養性，戒之。	1	2302	4	7200
221	木木金	土能克水, 水多土流！水，亂心者，濫而損修為。	禪思\n非外物亂，心動也，靜。	2	2302	5	7200
2221	木木木金	土賴火生, 火多土焦！君莫急，急者歧途。	話桑麻\n如水之友，清泉為茶，星陣以歡。	3	2302	6	7200
22221	木木木木金	兩金克木，木雖堅，亦易折！今日行事利大於弊。	勇於嘗試\n敗亡之脅，強者之路也。	4	2302	7	7200
